Wahlkreis,Wahlbezirk,Name,Straße,PLZ+Ort,barrierefrei
22,7302,Friedrich-W.-von-Steuben-Gesamtschule (46),Ricarda-Huch-Str. 23-27,14480 Potsdam,barrierefrei
22,7204,Schiller Gymnasium,Fritz-Lang-Str. 15,14480 Potsdam,
22,7303,Grundschule Im Kirchsteigfeld (56),Lise-Meitner-Str. 4-6,14480 Potsdam,barrierefrei
22,7205,Stadtteilschule Drewitz,Oskar-Meßter-Str. 4-6,14480 Potsdam,barrierefrei
22,7304,Grundschule Im Kirchsteigfeld (56),Lise-Meitner-Str. 4-6,14480 Potsdam,barrierefrei
22,7206,Stadtteilschule Drewitz,Oskar-Meßter-Str. 4-6,14480 Potsdam,barrierefrei
19,8101,Freiwillige Feuerwehr,Uetzer Dorfstr. 16,14476 Potsdam,barrierefrei
22,7301,Friedrich-W.-von-Steuben-Gesamtschule (46),Ricarda-Huch-Str. 23-27,14480 Potsdam,barrierefrei
19,8201,Kulturscheune Marquardt,Fahrländer Str. 1c,14476 Potsdam,barrierefrei
19,8403,Kulturladen Fahrland,Ketziner Str. 53,14476 Potsdam,
19,8301,Gemeindehaus Satzkorn,Dorfstr. Satzkorn 2,14476 Potsdam,
19,8404,Regenbogenschule (7),Ketziner Str. 90,14476 Potsdam,
19,8501,Bürgerhaus Neu Fahrland,Am Kirchberg 51,14476 Potsdam,barrierefrei
19,8401,Feuerwehr-Gerätehaus Fahrland,Priesterstr. 13,14476 Potsdam,
19,8402,Regenbogenschule (7),Ketziner Str. 90,14476 Potsdam,
19,8601,Groß Glienicker Begegnungshaus,Glienicker Dorfstr. 2,14476 Potsdam,barrierefrei
19,8603,Grundschule Hanna von Pestalozza (6),Hechtsprung 14-16,14476 Potsdam,barrierefrei
19,8604,Grundschule Hanna von Pestalozza (6),Hechtsprung 14-16,14476 Potsdam,barrierefrei
19,8602,Grundschule Hanna von Pestalozza (6),Hechtsprung 14-16,14476 Potsdam,barrierefrei
