Wahlbezirk,Straße,Hausnummern
3201,Fichtestr.,alle
3201,GA Alte Mühle,alle
3201,Geschw.-Scholl-Str.,37-72F
3201,Kantstr.,"1-9, 20-33"
3201,Kastanienallee,"1-5, 28-40"
3201,Maybachstr.,6-10
3201,Mittelweg,alle
3201,Werderscher Weg,"1-1B, 2, 2A"
4101,Zeppelinstr.,46-56
4101,Haeckelstr.,"ung. 31-59, ger. 30-74"
4101,Im Bogen,"19, 20, 21"
4101,Kantstr.,10-15D
4101,Kastanienallee,6-11
4101,Knobelsdorffstr.,"10,12"
4101,Maybachstr.,1A-5
4101,Roseggerstr.,ung. 1-29
4101,Stormstr.,53
4101,Zeppelinstr.,68H-M
4101,Gutenbergstr.,103-115
4101,Hegelallee,11-43
4101,Hermann-Elflein-Str.,"1-7, 33-38"
4101,Jägerallee,28-40B
4101,Lindenstr.,1-9
4101,Mauerstr.,alle
4101,Schopenhauerstr.,19-22
4102,Weinbergstr.,20-43
4102,Am Luftschiffhafen,alle
4102,An der Pirschheide,"11,13, ger. 20-30"
4102,Haeckelstr.,1-13
4102,Havelwelle,alle
4102,Kantstr.,16A-19
4102,Kastanienallee,12-27
4102,Knobelsdorffstr.,1-3
4102,Mertz-von-Quirnheim-Str.,alle
4102,Olympischer Weg,alle
4102,Roseggerstr.,ger. 2-24
4102,Zeppelinstr.,"57-62, 110-136"
4102,Am Palais Lichtenau,alle
4102,Behlertstr.,13-32
4102,Benkertstr.,alle
4102,Friedrich-Ebert-Str.,20-48
4102,Gutenbergstr.,68-86
4102,Hans-Thoma-Str.,"9, 10"
4102,Hebbelstr.,"3-12B, 33A-56"
4102,Hebbelstr.,33 A
4102,Kurfürstenstr.,"1-31, 36-54"
4102,Leiblstr.,14-26
4103,Mittelstr.,alle
4103,Hoffbauerstr.,alle
4103,Humboldtstr.,alle
4103,Joliot-Curie-Str.,alle
4103,Lange Brücke,6
4103,Neue Plantage,alle
4103,Obere Planitz,alle
4103,Otto-Braun-Platz,alle
4103,Schloßstr.,alle
4103,Schwertfegerstr.,alle
4103,Siefertstr.,alle
4103,Untere Planitz,alle
4103,Wall am Kiez,alle
4103,Werner-Seelenbinder-Str.,alle
4103,Yorckstr.,17-27
4103,Am Kanal,1-6a
4103,Behlertstr.,33-44
4103,Berliner Str.,"ung. 21-25, ung. 141-155,, ger. 10-26A, ger. 140-152"
4103,Charlottenstr.,"70, 72, 79"
4103,Gutenbergstr.,34-67
