Leiblstr.	3-12
Türkstr.	alle
Wahlbezirk 4107	WK 21
Rosa-Luxemburg-Schule (19)	
Burgstr. 23a	
4467 Potsdam	barrierefrei
Wahlbezirk 4104	WK 21
Voltaire-Gesamtschule (9)	
Lindenstr. 32	
14467 Potsdam	
Am Kanal	54-74
Brauerstr.	4-7
Burgstr.	alle
Eltesterstr.	alle
Freundschaftsinsel	alle
Große Fischerstr.	alle
Heilig-Geist-Str.	alle
Kleine Fischerstr.	alle
Brandenburger Str.	1-14
Breite Str.	7-23
Charlottenstr.	1-15, 116-128
Charlottenstr.	117
Dortustr.	36-45
Hermann-Elflein-Str.	15-24
Kiezstr.	alle
Lindenstr.	17-34A
Schopenhauerstr.	5-13
Wahlbezirk 4108 WK 21
"Schule des Zweiten Bildungsweges ""Heinrich von Kleist"""
Friedrich-Ebert-Str. 17
14467 Potsdam barrierefrei
Wahlbezirk 4105	WK 21
"Grundschule ""Max Dortu"" (8)"	
Dortustr. 28/29	
14467 Potsdam	
Brandenburger Str.	48-72
Dortustr.	1-17, 58-74
Friedrich-Ebert-Str.	72-92
Gutenbergstr.	1-25, 87-102
Hegelallee	1-10, 44-57
Helene-Lange-Str.	10A-19
Hermann-Elflein-Str.	8-14, 25-31
Jägerallee	1-16
Jägerstr.	1-16, 33-42
Lindenstr.	11-16, 52-66
Schopenhauerstr.	14-18
Am Bassin	alle
Am Kanal	7-18
Brandenburger Str.	28A-47A
Charlottenstr.	40-93
Französische Str.	alle
Friedrich-Ebert-Str.	8-19, 93-104
Gutenbergstr.	26-32
Im Französischen Quartier	alle
Jägerstr.	22-32
Platz der Einheit	alle
Posthofstr.	alle
Bäckerstr.	alle
Brandenburger Str.	25-28
Charlottenstr.	16-34, 94-115
Dortustr.	18-35
Dortustr.	47-57
Ebräerstr.	alle
Friedrich-Ebert-Str.	105-115
Im Nikolaiquartier	alle
Jägerstr.	17-21
Kleine Gasse	alle
Lindenstr.	35-51
Spornstr.	alle
Wilhelm-Staab-Str.	alle
Yorckstr.	2-16
Wahlbezirk 4106	WK 21
"Grundschule ""Max Dortu"" (8)"	
Dortustr. 28/29	
14467 Potsdam	
Alter Markt	alle
Am Alten Markt	alle
Am Kanal	47-53
Am Lustgartenwall	alle
Am Neuen Markt	alle
Brauerstr.	1
Brauerstr.	2
Breite Str.	1-6
Dortustr.	45A, 46, 46A
Friedrich-Ebert-Str.	4-7, 116-125
GA Hinzenberg	alle
H.-v.-Tresckow-Str.	alle
""
Wahlbezirk 4109 WK 21
"Schule des Zweiten Bildungsweges ""Heinrich von Kleist"""
Friedrich-Ebert-Str. 17
14467 Potsdam barrierefrei
Am Bassin	alle
Am Kanal	7-18
Brandenburger Str.	28A-47A
Charlottenstr.	40-93
Französische Str.	alle
Friedrich-Ebert-Str.	8-19, 93-104
Gutenbergstr.	26-32
Im Französischen Quartier	alle
An der Kornmühle	alle
An der Lokremise	alle
Friedrich-W.-Boelcke-Str.	alle
Leipziger Str.	1-12
Zur Königlichen Hofbrauerei	alle
Jägerstr.	22-32
Platz der Einheit	alle
Posthofstr.	alle
Wahlbezirk 4201	WK 22
Grundschule am Humboldtring (37)	
Humboldtring 15	
14473 Potsdam	barrierefrei
Wahlbezirk 4207	WK 22
Comenius-Schule (53)	
Brauhausberg 10	
14473 Potsdam	barrierefrei
Babelsberger Str.	alle
Eva-Laube-Weg	alle
Friedrich-List-Str.	14,16
Havelstr.	alle
Humboldtring	ung. 1-17, ung. 29-79,
""	12, 12A
Lange Brücke	1, 2
Lotte-Pulewka-Str.	ung. 5-7A, ger. 18-22
Albert-Einstein-Str.	ger. 2-24
Am Havelblick	alle
Brauhausberg	ung. 1-15
Brauhausberg	ung. 25-35, ger. 24-36
Finkenweg	1-4, 11-16
Leipziger Str.	51-66
Max-Planck-Str.	alle
Wahlbezirk 4202	WK 22
Grundschule am Humboldtring (37)	
Humboldtring 15	
14473 Potsdam	barrierefrei
""	
Wahlbezirk 5201	WK 21
Ministerium für Bildung, Jugend und Sport	
Studienseminar Potsdam	
Karl-Marx-Str. 33-34	
14482 Potsdam	barrierefrei
Edisonallee	ung. 1-19, ger. 2-6
Hans-Marchwitza-Ring	ung. 31-51, ger. 40-54
Humboldtring	ung. 19-27, ger. 32-120
Allee nach Glienicke	ung. 21-85
Am Böttcherberg	alle
Am Waldrand	alle
An der Sternwarte	alle
Behringstr.	ger. 54-94
Bruno-H.-Bürgel-Str.	ung. 49-71, ger. 54-80
Donarstr.	17
